"release_year","genres","count"
2000,"'alternative metal'",14
2000,"'alternative rock'",1
2000,"'atl hip hop'",3
2000,"'contemporary country'",1
2000,"'country'",3
2000,"'country road'",2
2000,"'dance pop'",7
2000,"'detroit hip hop'",5
2000,"'dirty south rap'",3
2000,"'east coast hip hop'",1
2000,"'funk metal'",3
2000,"'gangster rap'",3
2000,"'hip hop'",11
2000,"'hip pop'",1
2000,"'nu metal'",13
2000,"'permanent wave'",4
2000,"'pop'",5
2000,"'pop rap'",6
2000,"'pop rock'",2
2000,"'post-grunge'",11
2000,"'punk'",1
2000,"'r&b'",1
2000,"'rap'",11
2000,"'rap metal'",12
2000,"'rock'",16
2000,"'southern hip hop'",3
2000,"'trap'",1
2000,"'urban contemporary'",3
2001,"'alternative metal'",19
2001,"'alternative rock'",10
2001,"'atl hip hop'",2
2001,"'canadian rock'",1
2001,"'contemporary country'",1
2001,"'country'",1
2001,"'country road'",1
2001,"'dance pop'",8
2001,"'east coast hip hop'",1
2001,"'emo'",2
2001,"'funk metal'",3
2001,"'gangster rap'",1
2001,"'hip hop'",1
2001,"'hip pop'",3
2001,"'indie rock'",1
2001,"'latin hip hop'",1
2001,"'modern country rock'",1
2001,"'modern rock'",9
2001,"'neo mellow'",2
2001,"'neon pop punk'",2
2001,"'nu metal'",17
2001,"'permanent wave'",5
2001,"'pop'",5
2001,"'pop punk'",4
2001,"'pop rap'",1
2001,"'pop rock'",3
2001,"'post-grunge'",13
2001,"'punk'",4
2001,"'r&b'",6
2001,"'rap'",3
2001,"'rap metal'",6
2001,"'rock'",17
2001,"'trap'",1
2001,"'urban contemporary'",5
2002,"'alternative metal'",9
2002,"'alternative rock'",4
2002,"'atl hip hop'",1
2002,"'canadian pop'",2
2002,"'contemporary country'",3
2002,"'country'",4
2002,"'country road'",3
2002,"'dance pop'",7
2002,"'detroit hip hop'",5
2002,"'dirty south rap'",2
2002,"'emo'",1
2002,"'funk metal'",2
2002,"'gangster rap'",2
2002,"'hip hop'",8
2002,"'hip pop'",3
2002,"'latin hip hop'",1
2002,"'modern country rock'",1
2002,"'modern rock'",4
2002,"'neo mellow'",2
2002,"'neon pop punk'",2
2002,"'nu metal'",6
2002,"'permanent wave'",7
2002,"'pop'",6
2002,"'pop punk'",4
2002,"'pop rap'",3
2002,"'pop rock'",4
2002,"'post-grunge'",10
2002,"'punk'",1
2002,"'r&b'",3
2002,"'rap'",8
2002,"'rock'",9
2002,"'southern hip hop'",1
2002,"'urban contemporary'",5
2002,"'urbano latino'",2
2003,"'alternative metal'",19
2003,"'alternative rock'",4
2003,"'canadian rock'",3
2003,"'contemporary country'",3
2003,"'country'",3
2003,"'country road'",3
2003,"'dance pop'",4
2003,"'dirty south rap'",2
2003,"'east coast hip hop'",5
2003,"'funk metal'",3
2003,"'gangster rap'",5
2003,"'hip hop'",5
2003,"'hip pop'",3
2003,"'indie rock'",1
2003,"'latin hip hop'",3
2003,"'modern country rock'",1
2003,"'modern rock'",5
2003,"'nu metal'",12
2003,"'permanent wave'",3
2003,"'pop'",4
2003,"'pop punk'",3
2003,"'pop rap'",8
2003,"'pop rock'",4
2003,"'post-grunge'",15
2003,"'punk'",2
2003,"'r&b'",3
2003,"'rap'",5
2003,"'rap metal'",7
2003,"'rock'",14
2003,"'southern hip hop'",3
