"release_date","Artist","Popularity"
2000-03-21,"Black Eyed Peas",0
2000-03-21,"Britney Spears",0
2000-03-21,"Coldplay",0
2000-03-21,"Don Omar",0
2000-03-21,"Eminem",0
2000-03-21,"Kanye West",0
2000-03-21,"Nickelback",0
2000-03-21,"Rihanna",0
2000-03-21,"Seether",0
2000-03-21,"Shakira",0
2002-11-12,"Black Eyed Peas",0
2002-11-12,"Britney Spears",0
2002-11-12,"Coldplay",0
2002-11-12,"Don Omar",0
2002-11-12,"Eminem",0
2002-11-12,"Kanye West",0
2002-11-12,"Nickelback",0
2002-11-12,"Rihanna",0
2002-11-12,"Seether",0
2002-11-12,"Shakira",0
NA,"Black Eyed Peas",0
NA,"Britney Spears",0
NA,"Coldplay",0
NA,"Don Omar",0
NA,"Eminem",0
NA,"Kanye West",0
NA,"Nickelback",0
NA,"Rihanna",0
NA,"Seether",0
NA,"Shakira",76
2001-06-19,"Black Eyed Peas",0
2001-06-19,"Britney Spears",0
2001-06-19,"Coldplay",0
2001-06-19,"Don Omar",0
2001-06-19,"Eminem",0
2001-06-19,"Kanye West",0
2001-06-19,"Nickelback",0
2001-06-19,"Rihanna",0
2001-06-19,"Seether",0
2001-06-19,"Shakira",0
2003-02-06,"Black Eyed Peas",0
2003-02-06,"Britney Spears",0
2003-02-06,"Coldplay",0
2003-02-06,"Don Omar",0
2003-02-06,"Eminem",0
2003-02-06,"Kanye West",0
2003-02-06,"Nickelback",0
2003-02-06,"Rihanna",0
2003-02-06,"Seether",0
2003-02-06,"Shakira",0
2005-03-03,"Black Eyed Peas",0
2005-03-03,"Britney Spears",0
2005-03-03,"Coldplay",0
2005-03-03,"Don Omar",0
2005-03-03,"Eminem",0
2005-03-03,"Kanye West",0
2005-03-03,"Nickelback",0
2005-03-03,"Rihanna",0
2005-03-03,"Seether",0
2005-03-03,"Shakira",0
2000-01-01,"Black Eyed Peas",0
2000-01-01,"Britney Spears",0
2000-01-01,"Coldplay",0
2000-01-01,"Don Omar",0
2000-01-01,"Eminem",0
2000-01-01,"Kanye West",0
2000-01-01,"Nickelback",0
2000-01-01,"Rihanna",0
2000-01-01,"Seether",0
2000-01-01,"Shakira",0
2001-07-07,"Black Eyed Peas",0
2001-07-07,"Britney Spears",0
2001-07-07,"Coldplay",0
2001-07-07,"Don Omar",0
2001-07-07,"Eminem",0
2001-07-07,"Kanye West",0
2001-07-07,"Nickelback",0
2001-07-07,"Rihanna",0
2001-07-07,"Seether",0
2001-07-07,"Shakira",0
2002-12-10,"Black Eyed Peas",0
2002-12-10,"Britney Spears",0
2002-12-10,"Coldplay",0
2002-12-10,"Don Omar",0
2002-12-10,"Eminem",0
2002-12-10,"Kanye West",0
2002-12-10,"Nickelback",0
2002-12-10,"Rihanna",0
2002-12-10,"Seether",0
2002-12-10,"Shakira",0
2008-01-28,"Black Eyed Peas",0
2008-01-28,"Britney Spears",0
2008-01-28,"Coldplay",0
2008-01-28,"Don Omar",0
2008-01-28,"Eminem",0
2008-01-28,"Kanye West",0
2008-01-28,"Nickelback",0
2008-01-28,"Rihanna",0
2008-01-28,"Seether",0
2008-01-28,"Shakira",0
2006-06-06,"Black Eyed Peas",0
