name,artist,release_date,popularity,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Sparks,Coldplay,2000-07-10,86,7D0RhFcb3CrfPuTJ0obrod,"['permanent wave', 'pop']",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,audio_features,spotify:track:7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/tracks/7D0RhFcb3CrfPuTJ0obrod,https://api.spotify.com/v1/audio-analysis/7D0RhFcb3CrfPuTJ0obrod,227093,3
Yellow,Coldplay,2000-07-10,90,3AJwUDP919kvQ9QcozQPxg,"['permanent wave', 'pop']",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
The Real Slim Shady,Eminem,2000-05-23,87,3yfqSUWxFvZELEM4PmlwIR,"['detroit hip hop', 'hip hop', 'rap']",0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4
Kryptonite,3 Doors Down,2000,81,6ZOBP3NvffbU4SZcrnt1k6,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4
Ms. Jackson,Outkast,2000-10-31,82,0I3q5fE6wg7LIfHGngUTnV,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,audio_features,spotify:track:0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,270507,4
In the End,Linkin Park,2000-10-24,87,60a0Rd6pjrkxjPbaKzXjfq,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4
Change (In the House of Flies),Deftones,2000-05-16,79,51c94ac31swyDQj9B3Lzs3,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,audio_features,spotify:track:51c94ac31swyDQj9B3Lzs3,https://api.spotify.com/v1/tracks/51c94ac31swyDQj9B3Lzs3,https://api.spotify.com/v1/audio-analysis/51c94ac31swyDQj9B3Lzs3,299533,4
One Step Closer,Linkin Park,2000-10-24,81,3K4HG9evC7dg3N0R9cYqk4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,audio_features,spotify:track:3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/tracks/3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/audio-analysis/3K4HG9evC7dg3N0R9cYqk4,157333,4
It's A Great Day To Be Alive,Travis Tritt,2000-10-01,74,3oW6SWwGqiZSPTiAp7ZQoH,"['contemporary country', 'country', 'country road', 'outlaw country']",0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,audio_features,spotify:track:3oW6SWwGqiZSPTiAp7ZQoH,https://api.spotify.com/v1/tracks/3oW6SWwGqiZSPTiAp7ZQoH,https://api.spotify.com/v1/audio-analysis/3oW6SWwGqiZSPTiAp7ZQoH,241533,4
Stan,Eminem,2000-05-23,82,3UmaczJpikHgJFyBTAJVoz,"['detroit hip hop', 'hip hop', 'rap']",0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,audio_features,spotify:track:3UmaczJpikHgJFyBTAJVoz,https://api.spotify.com/v1/tracks/3UmaczJpikHgJFyBTAJVoz,https://api.spotify.com/v1/audio-analysis/3UmaczJpikHgJFyBTAJVoz,404107,4
